Control ID,Control Area,Control Statement,Control Type,Frequency,Objective,Framework Mapping,Source Name,Source Document
CTRL_000001,General Compliance,By Authority Of THE UNITED STATES OF AMERICA Legally Binding Document By the Authority Vested By Part 5 of the United States Code § 552(a) and Part 1 of the Code of Regulations § 51 the attached document has been duly INCORPORATED BY REFERENCE and shall be considered legally binding upon all citizens and residents of the United States of America.,Preventive,Not Specified,Ensure compliance with regulatory requirements,Maritime Security,Maritime Security,imo.isps.2003.pdf
CTRL_000002,General Compliance,INTERNATIONAL MANAGEMENT CODE FOR THE SAFE OPERATION OF SHIPS AND FOR POLLUTION PREVENTION (INTERNATIONAL SAFETY MANAGEMENT (ISM) CODE) PART A: IMPLEMENTATION 1.,Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000003,General Compliance,"1.1.1 International Safety Management (ISM) Code means the International Management Code for the Safe Operation of Ships and for Pollution Prevention as adopted by the Assembly, as may be amended by the Organization.",Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000004,Environmental Safety,1.1.4 Safety Management System means a structured and documented system enabling Company personnel to implement effectively the Company safety and environmental protection policy.,Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000005,General Compliance,1.1.6 Safety Management Certificate means a document issued to a ship which signifies that the Company and its shipboard management operate in accordance with the approved safety management system.,Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000006,General Compliance,"1.1.7 Objective evidence means quantitative or qualitative information, records or statements of fact pertaining of safety or to the existence and implementation of a safety management system element, which is based on observation, measurement or test and which can be verified.",Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000007,Risk Management,1.1.10 Major non-conformity means an identifiable deviation that poses a serious threat to the safety of personnel or the ship or a serious risk to the environment that requires immediate corrective action or the lack of effective and systematic implementation of a requirement of this Code.,Preventive,Not Specified,Reduce operational and compliance risks,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000008,Environmental Safety,"1.2 Objectives 1.2.1 The objectives of the Code are to ensure safety at sea, prevention of human injury or loss of life, and avoidance of damage to the environment, in particular to the marine environment, and to property.",Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000009,Risk Management,"1.2.2 Safety-management objectives of the Company should, inter alia: .1 provide for safe practices in ship operation and a safe working environment; .2 assess all identified risks to its ships, personnel and the environment and establish appropriate safeguards; and .3 continuously improve safety-management skills of personnel ashore and aboard ships, including preparing for emergencies related both to safety and environmental protection.",Preventive,Continuous,Reduce operational and compliance risks,Safety Management,Safety Management,ism-code-e.pdf
CTRL_000010,General Compliance,"1.2.3 The safety-management system should ensure: .1 compliance with mandatory rules and regulations; and .2 that applicable codes, guidelines and standards recommended by the Organization, Administrations, classification societies and maritime industry organizations are taken into account.",Preventive,Not Specified,Ensure compliance with regulatory requirements,Safety Management,Safety Management,ism-code-e.pdf
